run,avg_wall_cycles,avg_comm_cycles,speedup_vs_baseline,throughput_gain_vs_baseline,quantized_chunk_ratio,byte_reduction_ratio,queue_above_threshold_ratio,time_above_threshold_ns
baseline,201136.00,201136.00,1.000000,0.000000,0,0,0,0
candidate,72952.00,72952.00,2.757101,1.757101,1,0.75,1,1167232
