time_ns,link_src_device,link_dst_device,node_id,comm_src,comm_dst,comm_tag,original_bytes,effective_bytes,quantized,congestion_level,quant_ratio,queue_threshold
5595,5,6,0,5,6,500000000,8192,2048,1,1,0.25,0
5595,6,7,0,6,7,500000000,8192,2048,1,1,0.25,0
5595,7,0,0,7,0,500000000,8192,2048,1,1,0.25,0
5595,0,1,0,0,1,500000000,8192,2048,1,1,0.25,0
5595,1,2,0,1,2,500000000,8192,2048,1,1,0.25,0
6143,3,4,0,3,4,500000000,8192,2048,1,1,0.25,0
6143,4,5,0,4,5,500000000,8192,2048,1,1,0.25,0
6143,5,6,0,5,6,500000000,8192,2048,1,1,0.25,0
6143,6,7,0,6,7,500000000,8192,2048,1,1,0.25,0
6143,7,0,0,7,0,500000000,8192,2048,1,1,0.25,0
6143,0,1,0,0,1,500000000,8192,2048,1,1,0.25,0
6143,1,2,0,1,2,500000000,8192,2048,1,1,0.25,0
6143,2,3,0,2,3,500000000,8192,2048,1,1,0.25,0
6691,4,5,0,4,5,500000000,8192,2048,1,1,0.25,0
6691,5,6,0,5,6,500000000,8192,2048,1,1,0.25,0
6691,6,7,0,6,7,500000000,8192,2048,1,1,0.25,0
6691,7,0,0,7,0,500000000,8192,2048,1,1,0.25,0
6691,0,1,0,0,1,500000000,8192,2048,1,1,0.25,0
6691,1,2,0,1,2,500000000,8192,2048,1,1,0.25,0
6691,2,3,0,2,3,500000000,8192,2048,1,1,0.25,0
6691,3,4,0,3,4,500000000,8192,2048,1,1,0.25,0
7239,5,6,0,5,6,500000000,8192,2048,1,1,0.25,0
7239,6,7,0,6,7,500000000,8192,2048,1,1,0.25,0
7239,7,0,0,7,0,500000000,8192,2048,1,1,0.25,0
7239,0,1,0,0,1,500000000,8192,2048,1,1,0.25,0
7239,1,2,0,1,2,500000000,8192,2048,1,1,0.25,0
7239,2,3,0,2,3,500000000,8192,2048,1,1,0.25,0
7239,3,4,0,3,4,500000000,8192,2048,1,1,0.25,0
7239,4,5,0,4,5,500000000,8192,2048,1,1,0.25,0
7797,6,7,0,6,7,500000001,8192,2048,1,1,0.25,0
7797,7,0,0,7,0,500000001,8192,2048,1,1,0.25,0
7797,0,1,0,0,1,500000001,8192,2048,1,1,0.25,0
7797,1,2,0,1,2,500000001,8192,2048,1,1,0.25,0
7797,2,3,0,2,3,500000001,8192,2048,1,1,0.25,0
7797,3,4,0,3,4,500000001,8192,2048,1,1,0.25,0
7797,4,5,0,4,5,500000001,8192,2048,1,1,0.25,0
7797,5,6,0,5,6,500000001,8192,2048,1,1,0.25,0
8360,7,0,0,7,0,500000001,8192,2048,1,1,0.25,0
8360,0,1,0,0,1,500000001,8192,2048,1,1,0.25,0
8360,1,2,0,1,2,500000001,8192,2048,1,1,0.25,0
8360,2,3,0,2,3,500000001,8192,2048,1,1,0.25,0
8360,3,4,0,3,4,500000001,8192,2048,1,1,0.25,0
8360,4,5,0,4,5,500000001,8192,2048,1,1,0.25,0
8360,5,6,0,5,6,500000001,8192,2048,1,1,0.25,0
8360,6,7,0,6,7,500000001,8192,2048,1,1,0.25,0
8923,0,1,0,0,1,500000001,8192,2048,1,1,0.25,0
8923,1,2,0,1,2,500000001,8192,2048,1,1,0.25,0
8923,2,3,0,2,3,500000001,8192,2048,1,1,0.25,0
8923,3,4,0,3,4,500000001,8192,2048,1,1,0.25,0
8923,4,5,0,4,5,500000001,8192,2048,1,1,0.25,0
8923,5,6,0,5,6,500000001,8192,2048,1,1,0.25,0
8923,6,7,0,6,7,500000001,8192,2048,1,1,0.25,0
8923,7,0,0,7,0,500000001,8192,2048,1,1,0.25,0
9486,1,2,0,1,2,500000001,8192,2048,1,1,0.25,0
9486,2,3,0,2,3,500000001,8192,2048,1,1,0.25,0
9486,3,4,0,3,4,500000001,8192,2048,1,1,0.25,0
9486,4,5,0,4,5,500000001,8192,2048,1,1,0.25,0
9486,5,6,0,5,6,500000001,8192,2048,1,1,0.25,0
9486,6,7,0,6,7,500000001,8192,2048,1,1,0.25,0
9486,7,0,0,7,0,500000001,8192,2048,1,1,0.25,0
9486,0,1,0,0,1,500000001,8192,2048,1,1,0.25,0
10049,2,3,0,2,3,500000001,8192,2048,1,1,0.25,0
10049,3,4,0,3,4,500000001,8192,2048,1,1,0.25,0
10049,4,5,0,4,5,500000001,8192,2048,1,1,0.25,0
10049,5,6,0,5,6,500000001,8192,2048,1,1,0.25,0
10049,6,7,0,6,7,500000001,8192,2048,1,1,0.25,0
10049,7,0,0,7,0,500000001,8192,2048,1,1,0.25,0
10049,0,1,0,0,1,500000001,8192,2048,1,1,0.25,0
10049,1,2,0,1,2,500000001,8192,2048,1,1,0.25,0
10612,3,4,0,3,4,500000001,8192,2048,1,1,0.25,0
10612,4,5,0,4,5,500000001,8192,2048,1,1,0.25,0
10612,5,6,0,5,6,500000001,8192,2048,1,1,0.25,0
10612,6,7,0,6,7,500000001,8192,2048,1,1,0.25,0
10612,7,0,0,7,0,500000001,8192,2048,1,1,0.25,0
10612,0,1,0,0,1,500000001,8192,2048,1,1,0.25,0
10612,1,2,0,1,2,500000001,8192,2048,1,1,0.25,0
10612,2,3,0,2,3,500000001,8192,2048,1,1,0.25,0
11175,4,5,0,4,5,500000001,8192,2048,1,1,0.25,0
11175,5,6,0,5,6,500000001,8192,2048,1,1,0.25,0
11175,6,7,0,6,7,500000001,8192,2048,1,1,0.25,0
11175,7,0,0,7,0,500000001,8192,2048,1,1,0.25,0
11175,0,1,0,0,1,500000001,8192,2048,1,1,0.25,0
11175,1,2,0,1,2,500000001,8192,2048,1,1,0.25,0
11175,2,3,0,2,3,500000001,8192,2048,1,1,0.25,0
11175,3,4,0,3,4,500000001,8192,2048,1,1,0.25,0
11738,5,6,0,5,6,500000001,8192,2048,1,1,0.25,0
11738,6,7,0,6,7,500000001,8192,2048,1,1,0.25,0
11738,7,0,0,7,0,500000001,8192,2048,1,1,0.25,0
11738,0,1,0,0,1,500000001,8192,2048,1,1,0.25,0
11738,1,2,0,1,2,500000001,8192,2048,1,1,0.25,0
11738,2,3,0,2,3,500000001,8192,2048,1,1,0.25,0
11738,3,4,0,3,4,500000001,8192,2048,1,1,0.25,0
11738,4,5,0,4,5,500000001,8192,2048,1,1,0.25,0
12286,6,7,0,6,7,500000001,8192,2048,1,1,0.25,0
12286,7,0,0,7,0,500000001,8192,2048,1,1,0.25,0
12286,0,1,0,0,1,500000001,8192,2048,1,1,0.25,0
12286,1,2,0,1,2,500000001,8192,2048,1,1,0.25,0
12286,2,3,0,2,3,500000001,8192,2048,1,1,0.25,0
12286,3,4,0,3,4,500000001,8192,2048,1,1,0.25,0
12286,4,5,0,4,5,500000001,8192,2048,1,1,0.25,0
12286,5,6,0,5,6,500000001,8192,2048,1,1,0.25,0
12834,7,0,0,7,0,500000001,8192,2048,1,1,0.25,0
12834,0,1,0,0,1,500000001,8192,2048,1,1,0.25,0
12834,1,2,0,1,2,500000001,8192,2048,1,1,0.25,0
12834,2,3,0,2,3,500000001,8192,2048,1,1,0.25,0
12834,3,4,0,3,4,500000001,8192,2048,1,1,0.25,0
12834,4,5,0,4,5,500000001,8192,2048,1,1,0.25,0
12834,5,6,0,5,6,500000001,8192,2048,1,1,0.25,0
12834,6,7,0,6,7,500000001,8192,2048,1,1,0.25,0
13382,0,1,0,0,1,500000001,8192,2048,1,1,0.25,0
13382,1,2,0,1,2,500000001,8192,2048,1,1,0.25,0
13382,2,3,0,2,3,500000001,8192,2048,1,1,0.25,0
13382,3,4,0,3,4,500000001,8192,2048,1,1,0.25,0
13382,4,5,0,4,5,500000001,8192,2048,1,1,0.25,0
13382,5,6,0,5,6,500000001,8192,2048,1,1,0.25,0
13382,6,7,0,6,7,500000001,8192,2048,1,1,0.25,0
13382,7,0,0,7,0,500000001,8192,2048,1,1,0.25,0
13930,1,2,0,1,2,500000001,8192,2048,1,1,0.25,0
13930,2,3,0,2,3,500000001,8192,2048,1,1,0.25,0
13930,3,4,0,3,4,500000001,8192,2048,1,1,0.25,0
13930,4,5,0,4,5,500000001,8192,2048,1,1,0.25,0
13930,5,6,0,5,6,500000001,8192,2048,1,1,0.25,0
13930,6,7,0,6,7,500000001,8192,2048,1,1,0.25,0
13930,7,0,0,7,0,500000001,8192,2048,1,1,0.25,0
13930,0,1,0,0,1,500000001,8192,2048,1,1,0.25,0
14478,2,3,0,2,3,500000001,8192,2048,1,1,0.25,0
14478,3,4,0,3,4,500000001,8192,2048,1,1,0.25,0
14478,4,5,0,4,5,500000001,8192,2048,1,1,0.25,0
14478,5,6,0,5,6,500000001,8192,2048,1,1,0.25,0
14478,6,7,0,6,7,500000001,8192,2048,1,1,0.25,0
14478,7,0,0,7,0,500000001,8192,2048,1,1,0.25,0
14478,0,1,0,0,1,500000001,8192,2048,1,1,0.25,0
14478,1,2,0,1,2,500000001,8192,2048,1,1,0.25,0
15026,3,4,0,3,4,500000001,8192,2048,1,1,0.25,0
15026,4,5,0,4,5,500000001,8192,2048,1,1,0.25,0
15026,5,6,0,5,6,500000001,8192,2048,1,1,0.25,0
15026,6,7,0,6,7,500000001,8192,2048,1,1,0.25,0
15026,7,0,0,7,0,500000001,8192,2048,1,1,0.25,0
15026,0,1,0,0,1,500000001,8192,2048,1,1,0.25,0
15026,1,2,0,1,2,500000001,8192,2048,1,1,0.25,0
15026,2,3,0,2,3,500000001,8192,2048,1,1,0.25,0
15584,4,5,0,4,5,500000002,8192,2048,1,1,0.25,0
15584,5,6,0,5,6,500000002,8192,2048,1,1,0.25,0
