node_id,node_name,node_type,comm_size,tensor_len,quantized_event_ratio,byte_reduction_ratio,keep_ratio,approx_bits,quantized_trials,trials,mse_mean,mse_std,cosine_mean,cosine_std
0,embedding_ar,COMM_COLL_NODE,262144,65536,1.0,0.5,0.5,16,200,200,1.5527229502154682e-09,0.0,0.9999826521019771,1.6653345369377348e-15
1,attn_q_proj_ar,COMM_COLL_NODE,1048576,65536,1.0,0.5,0.5,16,200,200,1.7163264143249535e-09,0.0,0.9999934300539711,3.774758283725532e-15
2,attn_k_proj_ar,COMM_COLL_NODE,1048576,65536,1.0,0.5,0.5,16,200,200,1.7753197800729481e-09,0.0,0.9999940547898024,2.7755575615628914e-15
3,attn_v_proj_ar,COMM_COLL_NODE,1048576,65536,1.0,0.5,0.5,16,200,200,1.4811695203675868e-09,0.0,0.9999932842919265,2.6645352591003757e-15
4,attn_out_proj_ar,COMM_COLL_NODE,2097152,65536,1.0,0.5,0.5,16,200,200,1.4161003480950285e-09,0.0,0.999994115135516,2.1094237467877974e-15
5,ffn_fc1_ar,COMM_COLL_NODE,4194304,65536,1.0,0.5,0.5,16,200,200,1.5946073350647794e-09,0.0,0.9999913708341046,4.9960036108132044e-15
6,ffn_fc2_ar,COMM_COLL_NODE,4194304,65536,1.0,0.5,0.5,16,200,200,1.3759768879850753e-09,0.0,0.9999943299329437,4.884981308350689e-15
7,layernorm_ar,COMM_COLL_NODE,262144,65536,1.0,0.5,0.5,16,200,200,1.455356613000447e-09,0.0,0.999991228406563,2.9976021664879227e-15
